best_fit: 0.25097056277056273

best_ARI: 0.5807315258360084

best_complex: 1139.3600506493506

best_n_clusters: 46

best_df_distrib_1step:        P1  P2  P3
index            
0       0  25   0
1       0   2   0
2       1   0   0
3       0   1   5
4       0   0   6
5       0   3   0
6       0   1   0
7       0   2   0
8       0   0   1
9       2   0   2
10      1   0   0
11      7   0   0
12      0   1   0
13      0   0   4
14      3   0   0
15      0   2   0
16      0   6   0
17      0   1   0
18      3   0   0
19      0   2   0
20      0   5   0
21      0   0   1
22      0   0   6
23      6   0   0
24     12   0   4
25      0   0   7
26      4   0  18
27      0   7   0
28      0   2   0
29      0   1   0
30      0   0  21
31      0   1   0
32      1   0   0
33      5   0   0
34      0   0   2
35      0   0  13
36      1   0   0
37      0   1   0
38      0   5   0
39      3   0   0
40      0   8   0
41      0   2   0
42      0   4   0
43      0   1   0
44      0   0   8
45      1   0   0

best_ngram_1step: 2

best_min_percent_1step: 0.2

best_max_percent_1step: 1

best_df_distrib_2step:    P2  P3  P1
0  68   0   0
1  14   0   0
2   1  98  38
3   0   0   9
4   0   0   3

